종목명,종목코드,Market,Date
현대약품,004310,KOSPI,2026-09-08
JW신약,067290,KOSDAQ,2026-09-08
빛샘전자,072950,KOSDAQ,2026-09-18
스카이랩스,386380,KOSDAQ,2026-09-21
인제니아테라퓨틱스(Reg.S),950260,KOSDAQ,2026-08-26
우리기술투자,041190,KOSDAQ,2026-08-25
엑스게이트,356680,KOSDAQ,2026-09-15
광전자,017900,KOSPI,2026-09-21
흥구석유,024060,KOSDAQ,2026-09-11
미투온,201490,KOSDAQ,2026-09-17
금호건설,002990,KOSPI,2026-09-02
빛과전자,069540,KOSDAQ,2026-09-16
대한광통신,010170,KOSDAQ,2026-09-18
금호전기,001210,KOSPI,2026-09-01
삼익제약,014950,KOSDAQ,2026-09-15
흥아해운,003280,KOSPI,2026-09-10
삼미금속,012210,KOSDAQ,2026-09-22
삼화콘덴서,001820,KOSPI,2026-09-11
